keyword,search_volume,competition,low_top_of_page_bid,high_top_of_page_bid,cpc,2025_09,2025_08,2025_07,2025_06,2025_05,2025_04,2025_03,2025_02,2025_01,2024_12,2024_11,2024_10,growth_slope,growth_r2,growth_consistency,growth_stability,sustained_growth_score,yoy_trend_%,3month_trend_%
diet plans,135000.0,44.0,0.02,1.52,1.78,135000.0,135000.0,135000.0,110000.0,135000.0,135000.0,135000.0,135000.0,135000.0,135000.0,165000.0,165000.0,2869.3428847777463,0.3224555072404216,0.7272727272727273,1.0,0.004995699549716825,22.22222222222222,22.22222222222222
murder mystery subscription,110.0,45.0,1.3,3.53,3.15,90.0,50.0,50.0,50.0,50.0,50.0,70.0,140.0,390.0,260.0,140.0,90.0,14.300167072815032,0.5611917132983963,0.36363636363636365,0.7624560804439146,0.021465612008420298,0.0,-65.38461538461539
tax representation,1600.0,12.0,2.66,21.2,26.53,1900.0,1000.0,1000.0,1000.0,1300.0,1900.0,2400.0,1900.0,1900.0,1000.0,1000.0,1600.0,-15.272991193430027,0.029815886404774616,0.5454545454545454,0.7678389382180394,-0.0001270998204044392,-15.789473684210526,60.0
motion activated light,110000.0,100.0,0.04,0.83,0.39,110000.0,90500.0,90500.0,90500.0,90500.0,90500.0,110000.0,90500.0,110000.0,110000.0,165000.0,135000.0,4964.328337533626,0.2932134232363445,0.45454545454545453,1.0,0.0064853103283979575,22.727272727272727,22.727272727272727
improvement software,170.0,13.0,0.59,7.74,11.69,140.0,140.0,170.0,170.0,210.0,210.0,170.0,140.0,170.0,170.0,210.0,210.0,3.097031181937639,0.5935306427856168,0.7272727272727273,1.0,0.007924987206347505,50.0,23.52941176470588
executive training,18100.0,22.0,0.15,1.76,1.68,27100.0,33100.0,49500.0,12100.0,6600.0,4400.0,2900.0,2900.0,12100.0,14800.0,22200.0,22200.0,-259.84254772137626,0.5685950620198157,0.5454545454545454,0.43061174210799125,-0.001785871263031792,-18.081180811808117,50.0
secondhand boats,50.0,75.0,0.04,0.24,0.07,40.0,40.0,50.0,50.0,70.0,50.0,40.0,50.0,50.0,70.0,50.0,50.0,0.6908415179967966,0.6078993898386769,0.5454545454545454,0.9458246903001343,0.004404067950565299,25.0,-28.57142857142857
deputy app,4400.0,40.0,1.48,14.66,5.41,3600.0,3600.0,3600.0,3600.0,4400.0,3600.0,3600.0,3600.0,3600.0,3600.0,4400.0,8100.0,195.41457948913168,0.321040063081531,0.2727272727272727,1.0,0.004480083669991775,125.0,125.0
self care routines,49500.0,7.0,0.05,0.81,0.87,33100.0,40500.0,40500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,60500.0,60500.0,1567.565641416521,0.9239513634097475,1.0,1.0,0.03186531268453148,82.77945619335347,22.22222222222222
buy video player,90.0,89.0,0.1,0.36,0.18,90.0,70.0,70.0,50.0,90.0,70.0,110.0,90.0,110.0,110.0,70.0,70.0,0.8523311179746851,0.2602824754597952,0.45454545454545453,0.84919535632421,0.0010360857666759774,-22.22222222222222,-36.36363636363637
bathtub installation,22200.0,43.0,0.26,8.15,9.74,27100.0,22200.0,27100.0,18100.0,27100.0,27100.0,27100.0,22200.0,27100.0,22200.0,22200.0,22200.0,-261.1599304883839,0.15316331520153148,0.45454545454545453,0.8589547451598997,-0.0006326027585395494,-18.081180811808117,0.0
son birthday gifts,4400.0,100.0,0.07,0.98,0.8,3600.0,3600.0,3600.0,3600.0,4400.0,3600.0,3600.0,4400.0,6600.0,5400.0,6600.0,4400.0,226.24220523210795,0.7874751677225474,0.45454545454545453,0.9406509969913325,0.018246739470565723,22.22222222222222,-18.51851851851852
secure checkout,1600.0,26.0,1.07,15.31,10.86,1600.0,1300.0,1600.0,1300.0,1600.0,1600.0,1600.0,1600.0,1300.0,1300.0,1300.0,1300.0,-24.564099378411704,0.24665753516633637,0.45454545454545453,0.8506195078680499,-0.0015849019650919366,-18.75,0.0
jane cosmetics,590.0,78.0,0.56,6.97,3.94,590.0,590.0,720.0,880.0,590.0,480.0,590.0,590.0,720.0,590.0,590.0,720.0,0.38859177364656355,0.00125790916086288,0.36363636363636365,0.8722909357691461,2.447037545262967e-07,22.033898305084744,22.033898305084744
traditional wedding dresses,18100.0,97.0,0.03,0.65,0.15,18100.0,14800.0,14800.0,14800.0,18100.0,22200.0,22200.0,18100.0,22200.0,22200.0,22200.0,27100.0,777.23411106956,0.7565969004123699,0.6363636363636364,1.0,0.020116092036327003,49.72375690607735,22.07207207207207
keto snacks,74000.0,100.0,0.06,1.03,0.84,60500.0,60500.0,60500.0,74000.0,74000.0,74000.0,90500.0,90500.0,135000.0,60500.0,74000.0,90500.0,1698.6882885507337,0.7816665494910395,0.6363636363636364,0.8668739673367778,0.009794251251355223,49.586776859504134,49.586776859504134
leg of lamb,49500.0,83.0,0.13,1.45,0.26,40500.0,33100.0,27100.0,27100.0,33100.0,110000.0,49500.0,27100.0,40500.0,110000.0,60500.0,40500.0,2408.51750498515,0.5714067093375521,0.2727272727272727,0.8724479730445149,0.007038159217241945,0.0,-63.18181818181819
steel pipes,74000.0,59.0,0.03,0.27,0.29,90500.0,74000.0,60500.0,60500.0,60500.0,74000.0,74000.0,60500.0,90500.0,74000.0,74000.0,90500.0,1269.7139165206681,0.04503365490480249,0.36363636363636365,0.8741840978841965,0.00024752545737594307,0.0,22.2972972972973
party favors,90500.0,100.0,0.09,1.14,0.89,74000.0,74000.0,74000.0,74000.0,90500.0,90500.0,90500.0,74000.0,74000.0,74000.0,74000.0,90500.0,-37.80748322531356,0.2493326742669646,0.36363636363636365,0.9423589700849802,-4.113976233772252e-05,22.2972972972973,22.2972972972973
sketch prompts,720.0,5.0,0.11,0.38,0.21,1000.0,720.0,590.0,590.0,720.0,720.0,590.0,590.0,880.0,720.0,590.0,590.0,-8.059539504310061,0.4335718563683002,0.36363636363636365,0.6511310261548917,-0.001143696326540308,-41.0,-18.055555555555554
martin restaurant menu,4400.0,2.0,0.18,1.2,0.59,3600.0,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0,3600.0,3600.0,3600.0,4400.0,4400.0,-15.46736580364913,0.0008603658321281182,0.7272727272727273,0.9461687370447619,-2.22789814551086e-06,22.22222222222222,22.22222222222222
nonprofit communication,480.0,4.0,2.34,10.69,6.3,720.0,320.0,320.0,320.0,480.0,720.0,590.0,390.0,590.0,480.0,480.0,590.0,5.345461266799133,0.0013704029117778127,0.45454545454545453,0.7331663501677811,4.8720221810319586e-06,-18.055555555555554,22.916666666666664
portable studio,1600.0,79.0,0.39,1.86,0.84,1900.0,1300.0,1300.0,1300.0,1300.0,1600.0,1600.0,1600.0,1900.0,1600.0,1900.0,1900.0,44.03113269617689,0.06176029176265907,0.5454545454545454,0.9311670904873978,0.0008807697458361638,0.0,18.75
practice pads,12100.0,100.0,0.07,0.54,0.32,18100.0,12100.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,12100.0,14800.0,14800.0,237.9026570674033,0.30702765317525227,0.2727272727272727,0.7088532570401286,0.0011756575761004888,-18.23204419889503,22.31404958677686
subscription pricing,1600.0,3.0,0.11,5.65,4.83,1600.0,1300.0,1300.0,1300.0,1600.0,1900.0,1900.0,1600.0,1900.0,1600.0,1900.0,1900.0,37.80449132193669,0.6482616046868938,0.5454545454545454,1.0,0.008396027257775383,18.75,18.75
star projector,27100.0,100.0,0.15,0.7,0.5,18100.0,18100.0,14800.0,14800.0,14800.0,18100.0,33100.0,18100.0,27100.0,49500.0,40500.0,27100.0,2290.600723419637,0.7160246239413341,0.45454545454545453,0.9391630081466648,0.03202419283060784,49.72375690607735,-45.25252525252525
product discovery,5400.0,11.0,0.42,6.65,3.76,6600.0,3600.0,4400.0,5400.0,5400.0,5400.0,6600.0,6600.0,6600.0,4400.0,6600.0,6600.0,101.03087068068187,0.17679616854058067,0.7272727272727273,0.928063299739585,0.002167039752456603,0.0,50.0
best bread maker,27100.0,100.0,0.24,0.99,0.86,18100.0,18100.0,14800.0,14800.0,18100.0,18100.0,22200.0,27100.0,33100.0,40500.0,40500.0,33100.0,2394.1238113125396,0.7583794989829638,0.6363636363636364,0.9999210767247152,0.052525863764178914,82.87292817679558,-18.271604938271604
clause library,210.0,26.0,3.74,17.68,6.62,170.0,170.0,260.0,210.0,210.0,210.0,170.0,170.0,260.0,170.0,210.0,170.0,-1.0362255082143812,0.09131578845473487,0.2727272727272727,0.9102447824810617,-0.00011888229277349175,0.0,0.0
ergonomic office chairs,201000.0,100.0,0.26,2.84,2.27,450000.0,550000.0,368000.0,246000.0,135000.0,135000.0,135000.0,110000.0,135000.0,135000.0,165000.0,135000.0,-19958.299432834614,0.8664977070961133,0.18181818181818182,0.2944641872133692,-0.003391344879780852,-70.0,0.0
content management,12100.0,15.0,0.25,39.56,20.8,12100.0,12100.0,9900.0,8100.0,9900.0,12100.0,12100.0,12100.0,12100.0,12100.0,12100.0,14800.0,263.74575793886123,0.11852735869884279,0.6363636363636364,1.0,0.0017500092225296788,22.31404958677686,22.31404958677686
weight training program,6600.0,24.0,0.63,3.76,2.17,5400.0,5400.0,5400.0,5400.0,6600.0,6600.0,8100.0,5400.0,8100.0,5400.0,5400.0,5400.0,-29.56981719589119,0.4549023172045733,0.36363636363636365,0.8569591672629152,-0.0006996550546572341,0.0,0.0
temperature gun,27100.0,19.0,0.18,2.41,1.45,22200.0,27100.0,27100.0,27100.0,27100.0,22200.0,22200.0,22200.0,27100.0,27100.0,22200.0,22200.0,-171.15206368531784,0.0140615046063024,0.5454545454545454,0.8904210171748855,-4.7138534521132456e-05,0.0,-18.081180811808117
train simulator,110000.0,10.0,0.03,0.34,0.41,90500.0,90500.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,135000.0,135000.0,110000.0,110000.0,1791.8962062237683,0.8874834093233195,0.7272727272727273,0.9471125978626034,0.010202718209183559,21.54696132596685,-18.51851851851852
edge security,1600.0,17.0,2.28,31.0,20.14,1900.0,1600.0,1600.0,1600.0,1900.0,1900.0,1900.0,1600.0,1900.0,1600.0,1300.0,1600.0,-27.120787356160083,0.1670700461162039,0.36363636363636365,0.843586924451446,-0.000802609394594238,-15.789473684210526,0.0
money transfer service,135000.0,2.0,0.87,9.17,5.32,135000.0,450000.0,450000.0,49500.0,40500.0,33100.0,40500.0,33100.0,60500.0,135000.0,60500.0,49500.0,-13759.692608248628,0.5317809659714035,0.2727272727272727,0.19007420319216609,-0.0024244790196809394,-63.33333333333333,-63.33333333333333
corporate transport,260.0,8.0,0.45,9.86,2.94,320.0,210.0,170.0,210.0,480.0,480.0,320.0,320.0,260.0,210.0,210.0,170.0,-12.28275072298339,0.0014434363458765143,0.18181818181818182,0.6345323844512937,-7.0715052689709615e-06,-46.875,-19.047619047619047
facial recognition software,12100.0,34.0,0.83,7.34,5.67,8100.0,5400.0,9900.0,9900.0,6600.0,8100.0,8100.0,9900.0,18100.0,18100.0,22200.0,12100.0,1140.4930062683345,0.7307233845213824,0.7272727272727273,0.9225036298624415,0.05563400809925233,49.382716049382715,-33.14917127071823
client management software,18100.0,17.0,0.02,0.43,3.51,8100.0,9900.0,22200.0,14800.0,14800.0,18100.0,14800.0,8100.0,27100.0,22200.0,49500.0,33100.0,2527.854014688651,0.7455580348195302,0.6363636363636364,1.0,0.0713280986724193,308.641975308642,49.0990990990991
pizza delivery,450000.0,21.0,0.6,2.71,2.6,368000.0,550000.0,368000.0,368000.0,246000.0,246000.0,301000.0,246000.0,673000.0,673000.0,301000.0,450000.0,13905.557866237717,0.0168782062915227,0.36363636363636365,0.8927055523396431,0.00019460520929358996,22.282608695652172,-33.13521545319465
workplace wellness,6600.0,15.0,0.34,5.67,3.09,8100.0,6600.0,4400.0,5400.0,6600.0,6600.0,8100.0,6600.0,6600.0,5400.0,5400.0,8100.0,-2.6521143481768163,0.09541642006447293,0.36363636363636365,0.8221688017468657,-1.1557558944303518e-05,0.0,50.0
commercial development loan,170.0,44.0,4.93,33.7,15.48,90.0,90.0,70.0,140.0,390.0,170.0,210.0,210.0,170.0,110.0,110.0,70.0,-6.60015887637952,0.24687244822906884,0.36363636363636365,0.6050787639741689,-0.002384352137286664,-22.22222222222222,-36.36363636363637
presentation skills,60500.0,7.0,0.02,0.83,1.08,49500.0,40500.0,40500.0,40500.0,49500.0,49500.0,60500.0,60500.0,74000.0,74000.0,74000.0,74000.0,3359.6278545702216,0.7868110731104847,0.7272727272727273,1.0,0.03633093569713731,49.494949494949495,0.0
date night package,260.0,100.0,0.4,1.78,1.04,210.0,210.0,210.0,210.0,170.0,210.0,210.0,260.0,260.0,480.0,390.0,260.0,18.057992523630812,0.620863539828985,0.5454545454545454,0.9324301042050065,0.02400653603163756,23.809523809523807,-45.83333333333333
full length mirror,165000.0,100.0,0.22,0.87,0.64,165000.0,201000.0,165000.0,135000.0,135000.0,135000.0,165000.0,165000.0,201000.0,201000.0,201000.0,165000.0,3759.989757316761,0.05055418531432898,0.5454545454545454,0.9653721107858787,0.000598081655858857,0.0,-17.91044776119403
inner calm,90500.0,2.0,0.02,0.06,0.14,246000.0,110000.0,110000.0,74000.0,74000.0,74000.0,74000.0,60500.0,74000.0,74000.0,74000.0,90500.0,-4335.524332485116,0.677553404109539,0.09090909090909091,0.3244688410963908,-0.0007834292768891855,-63.21138211382114,22.2972972972973
army equipment,2400.0,47.0,0.02,0.55,0.63,2400.0,2900.0,2400.0,2400.0,2900.0,2400.0,2400.0,2400.0,2900.0,2900.0,2400.0,2900.0,21.334437873059226,0.19955887527111693,0.45454545454545453,0.9993985740972272,0.0007501321186453271,20.833333333333336,0.0
pr services,6600.0,8.0,0.34,4.47,3.81,9900.0,5400.0,4400.0,5400.0,8100.0,8100.0,9900.0,9900.0,8100.0,6600.0,4400.0,4400.0,-216.6860863500982,0.014179504259822617,0.36363636363636365,0.6142706859782345,-9.317434794329999e-05,-55.55555555555556,-33.33333333333333
championship rings,14800.0,100.0,0.36,1.95,2.33,9900.0,12100.0,12100.0,12100.0,14800.0,14800.0,14800.0,14800.0,18100.0,12100.0,22200.0,18100.0,653.8403148680848,0.9521262375262651,0.9090909090909091,1.0,0.04168896124077471,82.82828282828282,49.586776859504134
online session booking,40.0,57.0,12.81,39.21,28.11,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0,260.0,10.0,14.531014857324255,0.5255901803610128,0.18181818181818182,0.7209742751917187,0.03362647570601671,0.0,-94.11764705882352
edge ai solutions,1000.0,6.0,1.19,6.14,5.0,1000.0,1600.0,720.0,2400.0,2900.0,1000.0,590.0,590.0,590.0,390.0,320.0,480.0,-132.85401702152544,0.30425979710952,0.2727272727272727,0.28413810605085577,-0.0026579684927646686,-52.0,23.076923076923077
farm irrigation systems,6600.0,63.0,0.04,0.83,0.87,6600.0,5400.0,5400.0,5400.0,6600.0,6600.0,6600.0,6600.0,6600.0,5400.0,6600.0,5400.0,-11.544668441776482,0.062024247413749234,0.5454545454545454,0.910603594574127,-5.813677503498298e-05,-18.181818181818183,0.0
soundproofing,33100.0,100.0,0.36,2.99,1.57,33100.0,27100.0,27100.0,27100.0,33100.0,33100.0,33100.0,33100.0,33100.0,33100.0,33100.0,33100.0,344.73715545347585,0.35155305382775814,0.7272727272727273,0.9930381264605448,0.0028075098824241924,0.0,0.0
output management,880.0,5.0,2.29,10.57,4.2,880.0,720.0,720.0,880.0,1000.0,1000.0,1000.0,880.0,1000.0,880.0,880.0,880.0,2.6681269569981847,0.46052861943318657,0.45454545454545453,0.9523646288108737,0.0006034406800377167,0.0,0.0
mulch delivery,8100.0,54.0,0.71,3.4,2.34,5400.0,5400.0,5400.0,9900.0,18100.0,18100.0,12100.0,3600.0,1900.0,1900.0,2900.0,3600.0,-873.2778404885987,0.002989597072103556,0.2727272727272727,0.33326415331374876,-3.039363819160637e-05,-33.33333333333333,89.47368421052632
japanese beauty devices,70.0,100.0,1.1,3.28,1.58,70.0,70.0,70.0,70.0,70.0,90.0,110.0,70.0,70.0,90.0,90.0,50.0,-0.08680561416972438,0.4435267266770463,0.36363636363636365,0.8432821926657926,-0.0001548442854978379,-28.57142857142857,-44.44444444444444
tree branch removal,2400.0,53.0,3.0,13.98,13.52,2400.0,2400.0,2900.0,2900.0,2400.0,2900.0,2400.0,1300.0,2900.0,1900.0,1900.0,2400.0,-54.16078654621415,0.3448612054760567,0.45454545454545453,0.8128554305975091,-0.002823335768401771,0.0,26.31578947368421
top whiskey brands,14800.0,77.0,0.49,2.5,1.18,12100.0,12100.0,12100.0,12100.0,12100.0,12100.0,14800.0,12100.0,14800.0,22200.0,14800.0,14800.0,504.5248781857093,0.7228865819462551,0.2727272727272727,0.9586122801079164,0.007203327651554148,22.31404958677686,-33.33333333333333
resume builder,673000.0,77.0,0.42,8.23,7.11,550000.0,550000.0,673000.0,673000.0,673000.0,673000.0,673000.0,673000.0,673000.0,550000.0,550000.0,673000.0,-3429.804964795247,0.2973412180700016,0.7272727272727273,0.9386761403838273,-0.00111385770944463,22.363636363636363,22.363636363636363
driver recruitment,2400.0,11.0,0.05,3.48,4.8,1900.0,1600.0,1900.0,1600.0,1900.0,1900.0,2900.0,2400.0,2400.0,2400.0,2400.0,2400.0,62.40305019288009,0.7928538746154918,0.8181818181818182,1.0,0.019805841164008135,26.31578947368421,0.0
seo tools,201000.0,11.0,0.14,5.82,4.5,135000.0,110000.0,165000.0,201000.0,246000.0,165000.0,165000.0,135000.0,110000.0,201000.0,450000.0,450000.0,22612.695658498116,0.5327895915399483,0.5454545454545454,1.0,0.036595281668198684,233.33333333333334,123.88059701492537
world map posters,27100.0,100.0,0.28,1.25,0.53,12100.0,14800.0,12100.0,9900.0,9900.0,8100.0,12100.0,22200.0,74000.0,60500.0,74000.0,9900.0,4624.633897365805,0.6441098586427965,0.5454545454545454,0.7543258811363609,0.0562288671700231,-18.181818181818183,-83.63636363636363
entry door hardware,1000.0,100.0,0.69,3.8,2.89,1000.0,1000.0,1000.0,1900.0,1000.0,880.0,1000.0,880.0,1000.0,720.0,1000.0,1000.0,-23.062766755223244,0.15270194208793553,0.2727272727272727,0.7090525850396078,-0.0006481199626778131,0.0,38.88888888888889
simple ui,1300.0,1.0,0.99,5.71,4.78,1300.0,1000.0,1000.0,1300.0,1300.0,1600.0,1900.0,1300.0,1300.0,1300.0,1300.0,1300.0,1.6320473292540771,0.3766143827120253,0.36363636363636365,0.8756391142065854,0.00015012667089726295,0.0,0.0
water filtration systems,368000.0,82.0,0.09,5.12,3.56,246000.0,246000.0,246000.0,246000.0,450000.0,450000.0,450000.0,368000.0,368000.0,301000.0,450000.0,301000.0,4965.0453304427165,0.6961474168817015,0.36363636363636365,0.9153137819527727,0.003520556892760727,22.35772357723577,0.0
balance sheet software,1900.0,13.0,0.28,27.79,15.84,1000.0,480.0,480.0,880.0,1000.0,1000.0,1600.0,1000.0,880.0,1600.0,12100.0,1000.0,480.48303085189525,0.4855595122455699,0.5454545454545454,0.7628967834817701,0.0681969424601435,0.0,-37.5
income statement software,30.0,39.0,1.18,24.33,12.33,20.0,20.0,30.0,30.0,20.0,20.0,30.0,40.0,40.0,10.0,70.0,30.0,1.916861433010572,0.7213581126757513,0.5454545454545454,0.9272904979173098,0.025552923512719327,50.0,200.0
entry door set,390.0,99.0,0.62,3.02,3.4,590.0,390.0,320.0,260.0,320.0,390.0,390.0,260.0,480.0,390.0,720.0,590.0,23.231692146450275,0.01026837214386045,0.5454545454545454,0.8768146426131801,0.00027569319981158387,0.0,51.28205128205128
lunch catering,22200.0,36.0,0.2,7.66,4.98,12100.0,14800.0,12100.0,18100.0,12100.0,22200.0,22200.0,22200.0,22200.0,27100.0,27100.0,27100.0,1332.224830177294,0.9614392345317734,0.8181818181818182,1.0,0.05862629271832505,123.96694214876034,0.0
lee jeans store,590.0,98.0,0.31,1.6,0.93,480.0,480.0,480.0,390.0,480.0,590.0,590.0,480.0,590.0,720.0,590.0,720.0,21.014858034550723,0.7832754119313173,0.5454545454545454,1.0,0.017245682010246427,50.0,0.0
natural dog food,33100.0,95.0,1.86,14.96,8.74,40500.0,49500.0,49500.0,49500.0,27100.0,27100.0,27100.0,27100.0,27100.0,33100.0,49500.0,27100.0,-496.31316699087336,0.5738516287582167,0.45454545454545453,0.6981029469247843,-0.002387845798261932,-33.086419753086425,-18.12688821752266
gaming rituals,1900.0,9.0,0.03,0.41,0.15,1900.0,1600.0,1900.0,2400.0,2400.0,1900.0,1900.0,1300.0,1600.0,1900.0,1600.0,1900.0,-28.50448832716151,0.11222011992499059,0.45454545454545453,0.8203637347140725,-0.0006348778562283831,0.0,0.0
porcelain dinnerware,8100.0,94.0,0.09,1.0,0.87,9900.0,12100.0,12100.0,8100.0,12100.0,8100.0,6600.0,4400.0,5400.0,5400.0,5400.0,4400.0,-612.6348129800419,0.8471117454692452,0.2727272727272727,0.47923395324513496,-0.007762131454707385,-55.55555555555556,-18.51851851851852
production method,3600.0,0.0,0.05,1.82,8.38,3600.0,2400.0,1900.0,2900.0,4400.0,3600.0,4400.0,4400.0,3600.0,3600.0,4400.0,3600.0,79.81803162697618,0.5147938170473447,0.5454545454545454,0.9727671943590921,0.006346446895092747,0.0,0.0
county records lookup,1000.0,34.0,0.6,1.79,1.81,590.0,720.0,590.0,480.0,590.0,720.0,590.0,590.0,1900.0,720.0,2900.0,1300.0,139.1577552095613,0.6217750979430572,0.45454545454545453,0.9548099628002927,0.045969710566751476,120.33898305084745,80.55555555555556
pub equipment,260.0,70.0,0.34,1.89,1.45,260.0,170.0,210.0,210.0,260.0,260.0,260.0,210.0,260.0,260.0,210.0,260.0,1.6248571375350376,0.16356678142448766,0.7272727272727273,0.9362943571810337,0.000775668102034481,0.0,0.0
emergency response training,1900.0,13.0,0.36,4.68,2.88,2400.0,1600.0,1900.0,1600.0,1900.0,1900.0,2400.0,1900.0,1900.0,1600.0,1900.0,2400.0,7.847230731551093,0.08024830528137927,0.45454545454545453,0.8450496779126009,0.00012377884727596996,0.0,50.0
study program,2900.0,18.0,0.65,7.51,4.81,3600.0,2900.0,2400.0,2400.0,2900.0,3600.0,3600.0,3600.0,3600.0,2900.0,3600.0,4400.0,83.9222101143562,0.19273291372836787,0.6363636363636364,1.0,0.003220895522436003,22.22222222222222,51.724137931034484
motion sensor,74000.0,100.0,0.04,1.2,0.34,74000.0,60500.0,74000.0,60500.0,60500.0,60500.0,74000.0,74000.0,74000.0,74000.0,90500.0,90500.0,2273.2059346411575,0.292626447805852,0.6363636363636364,1.0,0.006055569297025876,22.2972972972973,22.2972972972973
bill payment app,9900.0,49.0,1.43,7.71,5.8,6600.0,6600.0,6600.0,5400.0,5400.0,6600.0,6600.0,5400.0,18100.0,18100.0,18100.0,6600.0,972.6110563915389,0.6039704556637915,0.45454545454545453,0.838100165224387,0.027336848543713807,0.0,-63.53591160220995
union banners,260.0,8.0,2.02,7.08,0.2,260.0,210.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,210.0,260.0,320.0,1.9436807970335341,0.16893968240100188,0.8181818181818182,1.0,0.0010634905574183175,23.076923076923077,52.38095238095239
debt settlement company,12100.0,45.0,11.53,44.44,40.07,6600.0,8100.0,14800.0,14800.0,22200.0,12100.0,18100.0,8100.0,6600.0,5400.0,6600.0,14800.0,-515.97778598928,0.014608694639961284,0.5454545454545454,0.6565189853815621,-0.00023711306583561008,124.24242424242425,174.07407407407408
game keys,49500.0,47.0,0.15,0.88,0.94,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,49500.0,40500.0,49500.0,60500.0,49500.0,60500.0,738.2459012760563,0.1519440411845514,0.2727272727272727,1.0,0.0006149837587621645,22.22222222222222,0.0
chairman training,1900.0,100.0,0.3,2.4,2.01,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,2400.0,1900.0,1900.0,1900.0,6.322751615596055,0.42855616578892675,0.09090909090909091,0.9493580404520711,0.00012100500973714594,0.0,0.0
corner shelf,165000.0,100.0,0.27,1.25,0.5,165000.0,165000.0,165000.0,135000.0,135000.0,135000.0,165000.0,165000.0,201000.0,165000.0,201000.0,165000.0,3457.197373489924,0.153619884388827,0.36363636363636365,0.9777235617035568,0.0011731960427368315,0.0,0.0
home assistance service,390.0,17.0,0.78,8.53,7.73,480.0,320.0,480.0,390.0,480.0,590.0,480.0,320.0,320.0,210.0,320.0,320.0,-19.093593821546325,0.386231724527099,0.2727272727272727,0.6735737075930599,-0.0032802093234929777,-33.33333333333333,52.38095238095239
