keyword,search_volume,competition,low_top_of_page_bid,high_top_of_page_bid,cpc,2025_09,2025_08,2025_07,2025_06,2025_05,2025_04,2025_03,2025_02,2025_01,2024_12,2024_11,2024_10,growth_slope,growth_r2,growth_consistency,growth_stability,sustained_growth_score,yoy_trend_%,3month_trend_%,priority_score
venom toxin,22200,1,0.04,1.08,0.22,5400,6600,5400,6600,9900,8100,14800,12100,14800,27100,60500,74000,5397.3412414623745,0.654560904055449,0.9090909090909091,1,0.2388780138873371,1270.3703703703704,173.06273062730628,14.728834636351525
nibble snacks,110000,2,0.07,0.32,0.71,40500,40500,49500,60500,74000,74000,90500,90500,135000,201000,246000,301000,22103.98380252802,0.8223581879854657,0.9090909090909091,1,0.18951624751167429,643.2098765432099,49.75124378109453,14.59565092439813
football jersey look,40500,49,0.12,2.2,3.37,9900,9900,9900,14800,14800,18100,18100,33100,74000,60500,90500,90500,8266.79827379545,0.8072050019987139,0.8181818181818182,1,0.20734419652345265,814.1414141414142,49.586776859504134,14.160745621278581
cinematography course,40500,49,0.12,2.2,3.37,9900,9900,9900,14800,14800,18100,18100,33100,74000,60500,90500,90500,8266.79827379545,0.8072050019987139,0.8181818181818182,1,0.20734419652345265,814.1414141414142,49.586776859504134,14.160745621278581
artisanal bread delivery,1300,100,0.7,2.48,1.26,110,70,90,70,90,170,260,260,480,1600,6600,8100,623.0386992915675,0.4961599812029118,0.8181818181818182,1,0.35334402292214034,7263.636363636364,406.25,14.116876064864371
chipmunk toy,6600,94,0.13,0.72,0.29,880,880,1000,1000,1000,1000,880,880,1600,4400,40500,33100,2968.787336178202,0.4515638452865798,0.7272727272727273,1,0.2635925410701241,3661.3636363636365,652.2727272727273,13.887576852526504
ripple wallet,27100,50,1.61,13.12,5.85,8100,9900,14800,8100,12100,12100,18100,18100,40500,90500,49500,74000,6574.5301607756155,0.7481253196709309,0.9090909090909091,1,0.2090367181690645,813.5802469135803,-18.23204419889503,13.699502813960713
exit signs,368000,100,0.11,8.87,2.6,135000,135000,165000,165000,165000,201000,301000,550000,550000,823000,823000,550000,64256.20620225807,0.8503461733167479,0.8181818181818182,0.9670901054974849,0.14516476916302143,307.4074074074074,-33.171324422843256,13.645497956615994
showstopper dress,3600,28,0.88,45.21,36.58,480,390,480,590,1000,1600,1900,1300,3600,2900,3600,22200,1049.2102446828355,0.5366415072647057,0.9090909090909091,1,0.28244823284552567,4525,665.5172413793103,13.601016068825727
small business credit,18100,23,0.13,0.82,2.8,4400,3600,1600,2400,4400,3600,6600,12100,22200,14800,27100,110000,5689.8903789681435,0.5225664644228444,0.7272727272727273,1,0.21875242485261176,2400,643.2432432432432,13.57145369982565
erp cloud solutions,368000,2,0.08,1.04,2.84,8100,5400,9900,5400,5400,110000,673000,450000,1000000,823000,673000,450000,71904.38481773852,0.8564417327443576,0.6363636363636364,0.9112876489812971,0.14293406214204568,5455.555555555556,-45.32199270959903,13.521340198548017
decorative object,165000,42,0.4,11.2,9.73,40500,33100,49500,60500,74000,110000,90500,301000,450000,368000,246000,301000,30309.597792826964,0.8578664947982431,0.8181818181818182,0.9923806093288864,0.15710726702388883,643.2098765432099,-18.206521739130434,13.414530376378577
translation software,40500,27,0.16,5.43,4.39,5400,6600,5400,8100,9900,6600,6600,6600,14800,14800,90500,301000,15282.726972659197,0.3691119455976446,0.6363636363636364,1,0.19103651558611776,5474.074074074074,1933.7837837837837,13.409376556761524
endpoint security,60500,37,1.31,27.18,15.84,18100,14800,18100,22200,22200,22200,27100,27100,135000,135000,165000,90500,13272.442707247548,0.7395483346244882,0.8181818181818182,0.951508400077908,0.179806601991566,400,-32.96296296296296,13.379667229364149
metal finisher,22200,5,0.52,4.8,2.1,1300,1300,1300,1000,1300,2400,40500,49500,40500,49500,49500,49500,5306.544533281083,0.8710374543875102,0.7272727272727273,1,0.20427722217444166,3707.692307692308,0,13.224962096554625
zoologist books,40500,64,0.3,3.72,6.53,12100,8100,9900,8100,12100,27100,49500,49500,90500,90500,74000,90500,8382.581355766417,0.8660085136193142,0.8181818181818182,1,0.18545013981942782,647.9338842975206,0,13.151986805883523
madam costume store,40500,64,0.3,3.72,6.53,12100,8100,9900,8100,12100,27100,49500,49500,90500,90500,74000,90500,8382.581355766417,0.8660085136193142,0.8181818181818182,1,0.18545013981942782,647.9338842975206,0,13.151986805883523
dinner reservations,40500,31,1.12,3.91,2.15,6600,8100,8100,6600,9900,8100,8100,22200,33100,40500,246000,74000,13451.031473423083,0.5569708181928059,0.6363636363636364,0.9376043321069334,0.18404954755699868,1021.2121212121212,82.71604938271605,13.087455147333474
hydrolyze proteins,165000,48,0.02,0.23,0.11,90500,60500,74000,90500,90500,90500,90500,90500,165000,368000,450000,301000,32339.112322269848,0.644192833720372,0.9090909090909091,1,0.14982198388720072,232.59668508287294,-18.206521739130434,13.03442189843135
business phone system,110000,25,0.11,1.73,4.66,49500,60500,60500,60500,60500,60500,60500,74000,110000,135000,246000,301000,19890.60465566048,0.6340077563468449,1,1,0.1554185286369105,508.080808080808,122.96296296296296,12.876651019239972
retro revival,49500,1,0.07,0.26,0.36,14800,22200,33100,22200,22200,27100,33100,40500,60500,74000,90500,201000,11496.411742679486,0.6935513095219754,0.8181818181818182,1,0.17373683613167412,1258.1081081081081,171.6216216216216,12.850863740433836
cloud web development,4400,12,0.03,0.11,0.13,1000,170,90,170,320,2900,2400,1900,4400,8100,6600,18100,1160.0168568907845,0.6863902318008817,0.7272727272727273,1,0.2526465078803981,1710.0000000000002,123.45679012345678,12.848508629903439
dei training,22200,12,0.49,8.4,3.43,8100,3600,2900,5400,5400,5400,8100,14800,60500,14800,40500,90500,5729.758184859285,0.6560400145423855,0.7272727272727273,1,0.19441618558663878,1017.2839506172841,511.4864864864865,12.796366639508987
webmail service,27100,15,0.15,3.31,5.58,880,880,1300,1000,880,880,1000,880,1000,1000,22200,246000,10513.663309677991,0.26528782927105,0.5454545454545454,1,0.18793531570564453,27854.545454545456,24500,12.76408412281349
buy stamps online,49500,100,0.66,5.41,4.31,12100,12100,12100,9900,12100,12100,14800,14800,49500,165000,165000,90500,13989.640558689374,0.6299160655097024,0.6363636363636364,0.9776184296834388,0.17185614583040104,647.9338842975206,-45.151515151515156,12.762572755774432
life assurance,33100,52,2.57,27.46,17.37,9900,8100,9900,9900,22200,14800,14800,14800,14800,9900,135000,110000,8760.480877503358,0.5122511579497345,0.8181818181818182,1,0.18202220050539994,1011.1111111111111,1011.1111111111111,12.746918367105353
historian research,2400,16,5.28,22.75,16.3,590,390,480,480,480,590,720,590,590,2400,14800,8100,929.1093783463118,0.4755369607429809,0.9090909090909091,1,0.2769088436617915,1272.8813559322034,237.5,12.740315104461098
ping pong paddle,90500,11,0.06,1.3,2.16,27100,60500,49500,40500,60500,60500,90500,110000,165000,110000,110000,301000,15183.012274895289,0.8510677809722542,0.9090909090909091,1,0.15545521464313586,1010.7011070110701,173.63636363636363,12.662017267114598
process automation tools,6600,22,1.27,32.11,10.78,1000,590,720,1000,1600,8100,4400,880,2900,9900,14800,27100,1723.085876648751,0.678366634593099,0.7272727272727273,1,0.22987358091334995,2610,173.73737373737376,12.599666354730658
raspberry pi case,6600,22,1.27,32.11,10.78,1000,590,720,1000,1600,8100,4400,880,2900,9900,14800,27100,1723.085876648751,0.678366634593099,0.7272727272727273,1,0.22987358091334995,2610,173.73737373737376,12.599666354730658
carol books,12100,31,0.21,5,1.2,3600,3600,4400,4400,4400,5400,5400,5400,9900,18100,22200,40500,2598.7165491179817,0.6336183065732613,0.9090909090909091,1,0.20757544897685165,1025,123.75690607734806,12.557645433512034
shipping crate,22200,17,0.01,0.45,0.29,2400,1900,2400,2400,2400,2400,2900,4400,14800,90500,135000,3600,8005.871099202257,0.5673857535668484,0.8181818181818182,0.7129127572243744,0.1888417900731939,50,-96.02209944751381,12.554083734302734
relationship coaching online,5400,12,0.53,11.17,6.32,880,390,880,390,590,1000,1900,3600,8100,18100,9900,12100,1387.1755740604037,0.7261246957931673,0.7272727272727273,1,0.23299222646115367,1275,-33.14917127071823,12.428581081131666
temptress costume,1900,9,2.49,15.27,2.35,320,210,320,390,390,390,390,480,1000,720,4400,14800,752.9845908957045,0.3881834689249365,0.9090909090909091,1,0.2789852883594523,4525,1955.5555555555557,12.425993789167006
erp for startups,14800,47,0.47,3.96,6.01,1300,880,720,720,1600,6600,14800,14800,22200,40500,60500,22200,4387.91745971079,0.798468101510158,0.6363636363636364,0.8967069340542069,0.19461653534600803,1607.6923076923076,-45.18518518518518,12.286280580757627
ai testing platform,12100,54,1.18,13.88,29.21,110,2400,140,90,110,140,390,27100,22200,40500,22200,22200,3111.703344606568,0.7675981000730314,0.6363636363636364,1,0.20046254212936726,20081.81818181818,-45.18518518518518,12.267240713338706
type design software,2900,6,1.48,3.76,5.87,140,70,90,110,140,210,110,140,140,140,2900,33100,1412.405686733151,0.26701179020810495,0.7272727272727273,1,0.2535330272223267,23542.85714285714,23542.85714285714,12.24072045645741
plug in ai,301000,46,0.26,3.39,2.74,135000,165000,165000,201000,246000,301000,301000,301000,368000,368000,368000,673000,31652.024122512343,0.9449215866373392,1,1,0.12040566025515873,398.51851851851853,82.88043478260869,12.075070657131521
privilege program,301000,46,0.26,3.39,2.74,135000,165000,165000,201000,246000,301000,301000,301000,368000,368000,368000,673000,31652.024122512343,0.9449215866373392,1,1,0.12040566025515873,398.51851851851853,82.88043478260869,12.075070657131521
generator installation,74000,11,2.23,33.91,15.47,14800,12100,8100,12100,18100,22200,22200,18100,22200,22200,18100,823000,32274.03055549672,0.264453615632539,0.6363636363636364,1,0.1477399752481096,5460.810810810811,3607.2072072072074,12.063033457234623
premium audio,9900,34,0.17,2.34,1.66,880,880,880,1000,880,1000,3600,18100,22200,22200,27100,18100,2568.1353987028974,0.8033215468337016,0.6363636363636364,0.9904566587689885,0.19968153183177875,1956.8181818181818,-18.46846846846847,11.97418075757961
parent portal software,2900,31,0.11,4.28,1.91,20,110,50,30,50,70,140,90,70,70,4400,33100,1477.632932519639,0.28446454881543914,0.6363636363636364,1,0.24532731470381092,165400,47185.71428571428,11.956606030502977
rabbi certification,720,17,0.89,2.47,24.8,20,10,20,20,20,20,30,30,30,40,390,8100,334.11624223224675,0.2545956687932873,0.9090909090909091,1,0.31837964876765606,40400,20150,11.954497662693239
virtual server,27100,35,0.05,6.28,5.12,9900,9900,12100,14800,18100,22200,18100,18100,33100,49500,49500,60500,4445.2325666893985,0.8493451989784043,0.9090909090909091,1,0.16917023649449545,511.1111111111111,22.22222222222222,11.932233923974994
executive leadership course,4400,40,2.23,15.09,14.07,880,720,590,1000,1300,720,720,1600,1300,12100,18100,22200,1854.4992581280494,0.5481571318842908,0.6363636363636364,1,0.22731310333318108,2422.7272727272725,83.47107438016529,11.925498023882787
ev charging optimization,1600,12,0.03,0.43,0.35,170,480,170,390,260,590,880,590,1300,1900,4400,6600,462.0245099481541,0.626939271369988,0.8181818181818182,1,0.27134376277633176,3782.3529411764703,247.3684210526316,11.898299707462861
yahoo ads,135000,40,0.95,45.99,26.52,2900,2900,2900,2900,2900,3600,8100,3600,135000,3600,8100,1500000,60833.565428014634,0.29730704080651593,0.36363636363636365,1,0.1308825781529816,51624.137931034486,41566.66666666667,11.84504687255429
startup growth women,135000,40,0.95,45.99,26.52,2900,2900,2900,2900,2900,3600,8100,3600,135000,3600,8100,1500000,60833.565428014634,0.29730704080651593,0.36363636363636365,1,0.1308825781529816,51624.137931034486,41566.66666666667,11.84504687255429
hardware store,1220000,11,0.18,1.47,0.67,673000,823000,823000,1000000,1000000,1000000,1000000,1000000,1500000,1830000,1830000,1830000,109194.75233941147,0.8977524550011998,1,1,0.09418259668700087,171.91679049034175,0,11.818651562918776
teacup set,8100,100,0.09,1,0.39,2400,2400,1900,1900,2900,2400,2900,2900,4400,12100,27100,40500,2798.831623563348,0.508068062273271,0.7272727272727273,1,0.20169236620658418,1587.5,234.7107438016529,11.791600936284857
acting workshops,8100,12,0.24,8.12,2.41,1600,2400,4400,3600,3600,4400,4400,5400,18100,18100,12100,14800,1399.883381218345,0.8428263460603471,1,1,0.201074616046072,825,-18.23204419889503,11.767456263807139
delivery near me,1000000,45,1.59,6.95,3.45,550000,673000,673000,673000,673000,673000,823000,823000,823000,823000,1000000,5000000,190964.05106468665,0.4104993044802079,1,1,0.09597607188644652,809.0909090909091,507.53341433778854,11.758564313186792
commercial electricity supplier,1000,58,45.62,115.8,193.01,30,70,40,90,140,90,90,140,260,1000,1900,8100,417.81432536062056,0.40667384826618524,0.7272727272727273,1,0.2916982971255559,26900,710,11.750948913766678
targeted neuromodulation,14800,34,0.03,1.71,2.84,480,260,210,260,260,5400,14800,14800,22200,40500,60500,22200,4477.14191590275,0.7993569318047219,0.5454545454545454,0.8975792924287997,0.17979967082197124,4525,-45.18518518518518,11.668378552089782
gasoline app,49500,20,0.38,6.32,3.65,12100,12100,14800,12100,14800,14800,14800,14800,22200,12100,49500,450000,18729.546745849493,0.289662630233551,0.7272727272727273,1,0.14819181233275394,3619.00826446281,3619.00826446281,11.651625725100914
immortal skincare,880,89,0.03,3.06,0.06,140,170,210,210,260,260,260,390,590,1600,880,4400,235.5929223512614,0.5725109466019258,1,1,0.29541668109084374,3042.8571428571427,175,11.642975657511185
toy store online,3600,88,0.08,1.78,0.86,1000,1000,1300,1000,1300,1600,1600,1600,3600,5400,9900,18100,1162.6558500224062,0.5804707101193868,0.8181818181818182,1,0.2270652292721747,1710.0000000000002,235.18518518518516,11.63142892774661
targeted outreach,450000,68,0.03,0.49,0.87,368000,135000,60500,74000,165000,165000,673000,368000,673000,673000,1000000,1000000,82549.5491681733,0.6050105566830138,0.7272727272727273,1,0.10403019283769932,171.73913043478262,48.588410104011885,11.534260393380785
mba degree online,450000,68,0.03,0.49,0.87,368000,135000,60500,74000,165000,165000,673000,368000,673000,673000,1000000,1000000,82549.5491681733,0.6050105566830138,0.7272727272727273,1,0.10403019283769932,171.73913043478262,48.588410104011885,11.534260393380785
data analytics outsourcing,8100,47,0.24,3.18,2.76,2900,2400,3600,4400,3600,2400,3600,3600,6600,6600,40500,33100,2814.938513793342,0.5076302431739237,0.8181818181818182,1,0.19423024755684654,1041.3793103448277,401.51515151515156,11.49994514676891
museum membership benefits,880,8,1.28,2.98,2.2,70,90,110,110,110,90,110,110,480,90,2400,6600,353.92088881736413,0.3865824099120092,0.8181818181818182,1,0.2901966281357803,9328.57142857143,7233.333333333333,11.48927210277228
metadata tagging,9900,50,0.03,1.72,1.81,1600,1600,1900,1000,1900,1600,2900,22200,14800,18100,40500,18100,2833.2904247741662,0.7706826540343513,0.6363636363636364,0.9545539669965657,0.18746023864440656,1031.25,0,11.485862465750014
article generator,6600,14,0.07,2.25,1.91,1300,1300,1300,1900,2400,2900,5400,9900,14800,12100,12100,14800,1345.6036953872065,0.8748016359835785,0.8181818181818182,1,0.19977754942059495,1038.4615384615386,22.31404958677686,11.450135209010362
caviar online buy,8100,100,0.33,4.98,4.05,1000,1000,720,720,880,1000,1000,1900,4400,22200,60500,12100,3484.4271385703682,0.5395411551742373,0.6363636363636364,0.847020270728627,0.19255321348680957,1110,-45.4954954954955,11.434398521380025
buy caviar online,8100,100,0.33,4.98,4.05,1000,1000,720,720,880,1000,1000,1900,4400,22200,60500,12100,3484.4271385703682,0.5395411551742373,0.6363636363636364,0.847020270728627,0.19255321348680957,1110,-45.4954954954955,11.434398521380025
parking software,2900,29,0.51,7.09,3.98,480,390,390,590,590,590,590,720,720,880,5400,22200,1065.5627639533266,0.3460205893449939,0.8181818181818182,1,0.22919960113391125,4525,2422.7272727272725,11.398200398751893
remote team communication,22200,0,0.09,0.72,0.82,1000,590,170,320,590,1000,1600,6600,8100,110000,110000,4400,7683.489028396139,0.58067732501962,0.6363636363636364,0.7183399831467508,0.16209716839487492,340,-96,11.391668074481546
comedy club tickets,6600,54,0.44,2.42,1.56,480,480,480,480,590,590,590,1600,5400,22200,40500,8100,2576.2355573877867,0.5890681924671838,0.6363636363636364,0.8307755777505884,0.19811756307608103,1587.5,-63.51351351351351,11.386731301257658
law enforcement equipment,1000,30,3,45,80.95,170,260,260,260,260,260,260,210,880,1000,3600,4400,328.3171830345734,0.5348102533397465,0.9090909090909091,1,0.27881526260879985,2488.2352941176473,340,11.364457878263995
space startups europe,720,17,0.43,2.87,1.49,40,10,30,20,170,170,90,480,1300,880,2400,1900,204.2843970799411,0.7407124404591767,0.7272727272727273,1,0.2976255121949187,4650,115.90909090909092,11.361482974046687
defi development,90500,24,0.03,0.96,0.65,40500,49500,49500,60500,49500,74000,74000,74000,110000,90500,201000,165000,11966.196744248815,0.8318544860249477,0.9090909090909091,1,0.12845155239663736,307.4074074074074,82.32044198895028,11.323540626040156
cosmetic dentistry,823000,9,0.04,0.56,1.23,301000,368000,201000,368000,823000,1000000,823000,550000,823000,550000,1000000,2240000,93108.46120336604,0.8022424197584399,0.7272727272727273,1,0.09132190975321257,644.1860465116279,307.27272727272725,11.317455934266505
castle yacht sale,823000,9,0.04,0.56,1.23,301000,368000,201000,368000,823000,1000000,823000,550000,823000,550000,1000000,2240000,93108.46120336604,0.8022424197584399,0.7272727272727273,1,0.09132190975321257,644.1860465116279,307.27272727272725,11.317455934266505
molecule model,246000,100,0.21,0.95,0.81,90500,74000,49500,60500,74000,74000,135000,246000,673000,550000,450000,301000,44704.46128014697,0.7351581424019024,0.6363636363636364,0.9231225239132559,0.10853540099788185,232.59668508287294,-45.27272727272727,11.242008143133623
incubation time,40500,100,0.14,0.65,0.43,9900,9900,9900,12100,9900,9900,12100,12100,22200,135000,135000,74000,11136.976335138193,0.6050411350118251,0.5454545454545454,0.9870859729886935,0.143501619336772,647.4747474747475,-45.18518518518518,11.219227591741163
resource planning software,22200,14,0.42,10.63,9.25,2900,2400,6600,4400,1900,6600,33100,18100,27100,40500,74000,27100,4770.598233828316,0.8320695040433133,0.6363636363636364,0.8997971299051881,0.15778980356546957,834.4827586206897,-33.086419753086425,11.204454795098245
garbage removal,27100,37,0.29,8.93,7.04,8100,12100,8100,9900,12100,18100,49500,40500,33100,33100,60500,49500,4047.7147830395243,0.9062299206984583,0.9090909090909091,1,0.15265336133805124,511.1111111111111,49.546827794561935,11.20004592047776
best space heater,18100,100,0.28,0.87,1,4400,2400,1600,1600,2400,2900,5400,14800,49500,40500,40500,27100,4116.338619635494,0.7250794883648106,0.6363636363636364,0.9633057368782992,0.16293026613330533,515.9090909090909,-33.086419753086425,11.194725608004267
creator workspace platform,2900,17,1.16,12.66,20.41,260,210,260,320,480,390,320,260,390,320,8100,27100,1371.1822011501506,0.33792038083443343,0.6363636363636364,1,0.222417615708693,10323.076923076922,8368.75,11.163381071171337
buy capers online,2900,100,0.1,1.49,0.58,20,10,20,20,20,20,20,30,50,9900,27100,50,1369.556223411534,0.49424938245180805,0.8181818181818182,0.6972476833476117,0.22107435837645484,150,-99.4949494949495,11.116872156193292
injury law firm,40500,44,0.26,12.6,28.64,5400,6600,8100,22200,27100,33100,60500,49500,135000,74000,49500,74000,6328.472013951059,0.9059164265273548,0.9090909090909091,0.9485635710699393,0.14111734690082653,1270.3703703703704,0,11.10937331162407
tax preparation software,27100,60,1.3,11.24,12.15,4400,3600,4400,5400,6600,12100,14800,18100,74000,60500,74000,14800,5403.133090683093,0.7808356623198072,0.8181818181818182,0.784329741454421,0.15055128694074843,236.36363636363637,-75.53719008264463,11.106861607973991
acoustic consulting,33100,6,1.76,8.48,7.2,2400,1000,1600,1300,1900,2400,1900,1900,1900,1300,368000,1600,14783.531588478874,0.3891429211285635,0.6363636363636364,0.700065878386624,0.14544894971073924,-33.33333333333333,23.076923076923077,11.093870339454478
fire door seals,49500,47,13.13,47.09,48.85,4400,9900,9900,8100,14800,18100,27100,60500,135000,165000,165000,4400,11707.259966896097,0.7687956109849836,0.8181818181818182,0.7072849243355197,0.13591619769015376,0,-97.33333333333334,11.075334081888354
pho noodles,49500,47,13.13,47.09,48.85,4400,9900,9900,8100,14800,18100,27100,60500,135000,165000,165000,4400,11707.259966896097,0.7687956109849836,0.8181818181818182,0.7072849243355197,0.13591619769015376,0,-97.33333333333334,11.075334081888354
trigonometry help,1900,45,1,5.15,3.74,390,210,210,260,480,480,480,480,1300,590,14800,5400,802.4470789750167,0.48268495916445164,0.7272727272727273,1,0.2373767322743187,1284.6153846153848,815.2542372881356,11.06175175822121
internet ads,246000,16,0.04,1.24,1.71,90500,74000,110000,135000,246000,246000,201000,301000,368000,301000,673000,246000,32017.930439459466,0.9284389888574427,0.8181818181818182,0.8826154896111275,0.10517398775898197,171.8232044198895,-18.272425249169437,11.06079653674295
archive protocol software,246000,16,0.04,1.24,1.71,90500,74000,110000,135000,246000,246000,201000,301000,368000,301000,673000,246000,32017.930439459466,0.9284389888574427,0.8181818181818182,0.8826154896111275,0.10517398775898197,171.8232044198895,-18.272425249169437,11.06079653674295
wireless security,33100,36,0.06,2,2,4400,2900,3600,3600,3600,8100,22200,18100,135000,90500,74000,18100,7242.79515413518,0.7308704093931913,0.8181818181818182,0.7784810083291311,0.14427900221422962,311.3636363636364,-80,11.04099072499476
virtual conference platform,27100,5,0.03,1.43,1.67,8100,5400,5400,5400,33100,2900,18100,22200,49500,33100,49500,74000,5180.580181531954,0.8276576172650467,0.6363636363636364,1,0.14859542414204155,813.5802469135803,123.56495468277946,11.02015881073568
infrared heater,90500,100,0.29,2.18,1.45,49500,33100,33100,40500,49500,49500,49500,74000,165000,165000,165000,135000,13494.187616072126,0.7449198229504936,0.8181818181818182,1,0.12116635230188955,172.72727272727272,-18.181818181818183,10.962438859051582
retirement planning,246000,26,0.43,6.12,3.72,135000,135000,165000,165000,165000,201000,201000,246000,368000,301000,450000,368000,26189.23064287305,0.890663390280704,0.9090909090909091,1,0.1028162563248881,172.59259259259258,22.259136212624583,10.93369276513117
cloudbased erp,165000,8,0.09,1.8,2.43,40500,33100,40500,40500,135000,165000,90500,165000,246000,550000,368000,110000,28831.016146344362,0.8356153907244489,0.7272727272727273,0.8047324069282031,0.10932868657771916,171.60493827160494,-80,10.92169061282635
parish deeds,165000,8,0.09,1.8,2.43,40500,33100,40500,40500,135000,165000,90500,165000,246000,550000,368000,110000,28831.016146344362,0.8356153907244489,0.7272727272727273,0.8047324069282031,0.10932868657771916,171.60493827160494,-80,10.92169061282635
